DATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2004-04-27,2,2.0,4,7,12,16,17.0,15,14.0,12,13.0,15.0,16.0,18,14.0,8,7.0,5.0,4.0,6.0,7.0,7.0,6.0,2
2004-04-28,2,2.0,5,7,9,11,13.0,12,12.0,14,15.0,18.0,19.0,16,13.0,9,2.0,5.0,3.0,-2.0,-8.0,-8.0,-8.0,-7
2004-04-29,-7,-7.0,-6,-2,0,-2,-2.0,1,1.0,0,0.0,3.0,6.0,5,4.0,2,2.0,3.0,3.0,1.0,3.0,5.0,8.0,11
2004-04-30,11,8.0,1,-5,-10,-15,-12.0,-8,-11.0,-7,-3.0,-2.0,-1.0,-2,2.0,7,9.0,16.0,15.0,16.0,-5.0,-21.0,-34.0,-2
2004-05-01,-18,-19.0,-31,-33,-32,-31,-24.0,-23,-19.0,-19,-14.0,-9.0,-8.0,-7,-6.0,-4,-6.0,-5.0,-4.0,-4.0,-6.0,-11.0,-13.0,-13
2004-05-02,-10,-12.0,-12,-5,1,4,6.0,7,7.0,4,9.0,6.0,6.0,7,3.0,1,-2.0,-2.0,0.0,-2.0,-2.0,2.0,1.0,-4
2004-05-03,-7,-10.0,-6,1,6,6,12.0,8,1.0,-1,-1.0,2.0,6.0,10,9.0,8,9.0,8.0,5.0,3.0,5.0,6.0,9.0,6
2004-05-04,8,12.0,9,0,-6,-5,-6.0,-2,0.0,-5,-3.0,-1.0,-4.0,-4,-4.0,-2,-3.0,-1.0,1.0,0.0,-3.0,-4.0,-1.0,0
2004-05-05,1,-3.0,-4,-3,-4,-5,0.0,0,-3.0,-12,-3.0,11.0,14.0,14,7.0,5,6.0,4.0,-1.0,-3.0,-1.0,-5.0,-4.0,-1
2004-05-06,1,1.0,-1,0,1,1,1.0,-1,-5.0,-4,-3.0,-5.0,-4.0,-1,-2.0,1,4.0,6.0,3.0,-4.0,-3.0,1.0,3.0,-3
2004-05-07,-12,-13.0,-13,-14,-14,-12,-13.0,-12,-11.0,-6,-6.0,-3.0,-1.0,2,-1.0,-8,-11.0,-7.0,-2.0,-4.0,-6.0,-5.0,-5.0,-5
2004-05-08,-8,-5.0,-3,-2,-2,2,7.0,8,4.0,-3,-6.0,-5.0,0.0,0,-3.0,-4,-7.0,-10.0,-14.0,-12.0,-13.0,-10.0,-6.0,0
2004-05-09,1,-1.0,0,1,1,-4,-3.0,2,5.0,6,6.0,4.0,3.0,-1,-3.0,-4,-3.0,0.0,0.0,0.0,3.0,5.0,6.0,6
2004-05-10,6,5.0,3,5,2,2,2.0,5,5.0,4,6.0,8.0,8.0,7,4.0,0,-1.0,0.0,2.0,2.0,2.0,2.0,11.0,15
2004-05-11,10,6.0,7,11,8,3,3.0,5,9.0,9,10.0,13.0,14.0,13,10.0,8,9.0,9.0,13.0,10.0,8.0,3.0,0.0,-9
2004-05-12,-11,-19.0,-23,-18,-27,-20,-13.0,-9,-10.0,-4,-2.0,1.0,1.0,1,0.0,-1,-1.0,1.0,-2.0,-3.0,-4.0,-1.0,3.0,3
2004-05-13,2,3.0,2,5,0,-7,-9.0,-9,-18.0,-17,-9.0,-2.0,-2.0,-3,-3.0,-4,-8.0,-14.0,-18.0,-19.0,-14.0,-9.0,-8.0,-11
