DATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
25/03/2011,-2,-1.0,-1,0,0,-1,0.0,-2,-5.0,-5,-3.0,0.0,2.0,3,5.0,3,2.0,1.0,-2.0,-1.0,1.0,2.0,1.0,-2
26/03/2011,-3,-5.0,-7,-8,-7,-6,-5.0,-5,-5.0,-6,-5.0,-2.0,-1.0,0,0.0,0,-1.0,-1.0,1.0,2.0,3.0,5.0,5.0,3
27/03/2011,5,4.0,1,-1,0,0,1.0,1,0.0,0,-3.0,-5.0,-4.0,-2,-1.0,-1,-1.0,1.0,1.0,1.0,2.0,-1.0,-1.0,-3
28/03/2011,-3,0.0,2,2,1,1,4.0,7,8.0,7,4.0,2.0,-1.0,1,3.0,3,4.0,4.0,3.0,1.0,2.0,4.0,3.0,2
29/03/2011,2,2.0,2,2,3,4,6.0,6,6.0,5,3.0,1.0,1.0,2,4.0,5,14.0,19.0,22.0,26.0,29.0,31.0,36.0,37
30/03/2011,14,-1.0,-3,-2,-4,-1,-1.0,-2,-4.0,-3,-1.0,3.0,2.0,4,8.0,8,8.0,11.0,13.0,15.0,15.0,12.0,10.0,9
31/03/2011,7,7.0,9,8,6,5,3.0,1,1.0,1,2.0,0.0,-3.0,-4,-4.0,-3,-2.0,0.0,-1.0,-3.0,-5.0,-5.0,-2.0,-2
01/04/2011,-1,-1.0,-1,-4,-4,-6,-4.0,-2,-2.0,6,-1.0,-3.0,-7.0,-3,2.0,4,11.0,6.0,-11.0,-15.0,-14.0,-13.0,-17.0,-29
02/04/2011,-32,-35.0,-38,-33,-33,-33,-34.0,-30,-27.0,-25,-29.0,-31.0,-26.0,-20,-18.0,-18,-20.0,-17.0,-17.0,-21.0,-28.0,-26.0,-16.0,-18
03/04/2011,-23,-25.0,-27,-35,-37,-37,-36.0,-35,-28.0,-26,-27.0,-22.0,-20.0,-19,-19.0,-24,-23.0,-20.0,-19.0,-17.0,-24.0,-24.0,-22.0,-20
04/04/2011,-22,-27.0,-31,-29,-31,-29,-25.0,-26,-23.0,-24,-24.0,-23.0,-21.0,-18,-18.0,-18,-17.0,-15.0,-13.0,-14.0,-15.0,-14.0,-13.0,-14
05/04/2011,-16,-19.0,-20,-21,-20,-21,-21.0,-18,-15.0,-15,-15.0,-13.0,-11.0,-8,-6.0,-6,-5.0,1.0,7.0,12.0,-1.0,-12.0,-15.0,-11
